trial,status,return_code,variant,mixed_precision,batch_size,num_workers,timed_epochs,timed_epoch_seconds_mean,timed_train_seconds_mean,timed_val_seconds_mean,timed_train_img_s_mean,timed_epoch_img_s_mean,gpu_use_avg,gpu_use_max,vram_used_mb_max,cpu_percent_avg,cpu_percent_max,ram_used_percent_max,process_tree_rss_mb_max,disk_read_mb_s_avg,disk_write_mb_s_avg,best_val_loss,best_val_accuracy,best_val_f1_macro,run_dir,checkpoint_dir,config_path,resource_path
1,completed,0,baseline,fp32,32,0,"2,3",108.763794,100.496523,8.267258,99.50593,110.330833,90.074627,100.0,2132.711,63.985618,72.865,27.411,1690.773,2.164713,1.406693,0.09336707214638591,0.9745,0.9744762937788989,runs/perf_resnet18_rocm/baseline/bs32_nw0,checkpoints/perf_resnet18_rocm/baseline/bs32_nw0,runs/perf_resnet18_rocm/trial_configs/trial_001_baseline_bs32_nw0.yaml,runs/perf_resnet18_rocm/baseline/bs32_nw0/resource_samples.csv
2,completed,0,baseline,fp32,32,2,"2,3",93.129454,87.182277,5.947162,114.702212,128.852898,96.027491,100.0,2132.609,63.764151,67.339,30.448,4179.371,0.001897,1.535952,0.04055587533302605,0.9865,0.9864881876678566,runs/perf_resnet18_rocm/baseline/bs32_nw2,checkpoints/perf_resnet18_rocm/baseline/bs32_nw2,runs/perf_resnet18_rocm/trial_configs/trial_002_baseline_bs32_nw2.yaml,runs/perf_resnet18_rocm/baseline/bs32_nw2/resource_samples.csv
3,completed,0,baseline,fp32,32,4,"2,3",93.040117,87.067055,5.973048,114.854005,128.976622,96.244828,100.0,2132.602,63.811614,67.496,32.698,6675.68,0.0,2.145738,0.04055587533302605,0.9865,0.9864881876678566,runs/perf_resnet18_rocm/baseline/bs32_nw4,checkpoints/perf_resnet18_rocm/baseline/bs32_nw4,runs/perf_resnet18_rocm/trial_configs/trial_003_baseline_bs32_nw4.yaml,runs/perf_resnet18_rocm/baseline/bs32_nw4/resource_samples.csv
4,completed,0,baseline,fp32,32,6,"2,3",93.260151,87.253052,6.007089,114.609171,128.67232,96.553265,100.0,2132.602,63.86112,70.921,34.639,9115.125,0.0001,1.561952,0.04055587533302605,0.9865,0.9864881876678566,runs/perf_resnet18_rocm/baseline/bs32_nw6,checkpoints/perf_resnet18_rocm/baseline/bs32_nw6,runs/perf_resnet18_rocm/trial_configs/trial_004_baseline_bs32_nw6.yaml,runs/perf_resnet18_rocm/baseline/bs32_nw6/resource_samples.csv
5,completed,0,baseline,fp32,32,8,"2,3",93.402435,87.35317,6.049249,114.477815,128.476308,95.608247,100.0,2132.625,63.902433,70.757,36.816,11671.434,0.0,2.142955,0.04055587533302605,0.9865,0.9864881876678566,runs/perf_resnet18_rocm/baseline/bs32_nw8,checkpoints/perf_resnet18_rocm/baseline/bs32_nw8,runs/perf_resnet18_rocm/trial_configs/trial_005_baseline_bs32_nw8.yaml,runs/perf_resnet18_rocm/baseline/bs32_nw8/resource_samples.csv
6,completed,0,baseline,fp32,64,0,"2,3",109.017748,100.707177,8.31056,99.297789,110.07382,87.863636,100.0,3086.703,65.10058,69.467,29.526,1770.371,0.000241,2.107031,0.030957521755248307,0.9915,0.9915194718291401,runs/perf_resnet18_rocm/baseline/bs64_nw0,checkpoints/perf_resnet18_rocm/baseline/bs64_nw0,runs/perf_resnet18_rocm/trial_configs/trial_006_baseline_bs64_nw0.yaml,runs/perf_resnet18_rocm/baseline/bs64_nw0/resource_samples.csv
7,completed,0,baseline,fp32,64,2,"2,3",93.948802,87.779186,6.169601,113.922223,127.729143,96.169872,100.0,3086.594,63.940788,68.13,32.548,4355.414,0.0,1.731013,0.03695730858296156,0.989,0.9889839880924903,runs/perf_resnet18_rocm/baseline/bs64_nw2,checkpoints/perf_resnet18_rocm/baseline/bs64_nw2,runs/perf_resnet18_rocm/trial_configs/trial_007_baseline_bs64_nw2.yaml,runs/perf_resnet18_rocm/baseline/bs64_nw2/resource_samples.csv
8,completed,0,baseline,fp32,64,4,"2,3",94.122735,87.938826,6.183894,113.715414,127.493108,96.458333,100.0,3127.676,63.99009,70.672,36.694,7052.809,0.0,1.728715,0.03695730858296156,0.989,0.9889839880924903,runs/perf_resnet18_rocm/baseline/bs64_nw4,checkpoints/perf_resnet18_rocm/baseline/bs64_nw4,runs/perf_resnet18_rocm/trial_configs/trial_008_baseline_bs64_nw4.yaml,runs/perf_resnet18_rocm/baseline/bs64_nw4/resource_samples.csv
9,completed,0,baseline,fp32,64,6,"2,3",94.100042,87.868363,6.231664,113.806604,127.523854,96.830128,100.0,3115.188,64.089263,71.882,38.407,9763.316,3.2e-05,2.010006,0.03695730858296156,0.989,0.9889839880924903,runs/perf_resnet18_rocm/baseline/bs64_nw6,checkpoints/perf_resnet18_rocm/baseline/bs64_nw6,runs/perf_resnet18_rocm/trial_configs/trial_009_baseline_bs64_nw6.yaml,runs/perf_resnet18_rocm/baseline/bs64_nw6/resource_samples.csv
10,completed,0,baseline,fp32,64,8,"2,3",94.279957,88.006368,6.273576,113.628141,127.280499,96.019169,100.0,3115.18,64.086917,74.427,41.991,12398.289,0.014879,2.008716,0.03695730858296156,0.989,0.9889839880924903,runs/perf_resnet18_rocm/baseline/bs64_nw8,checkpoints/perf_resnet18_rocm/baseline/bs64_nw8,runs/perf_resnet18_rocm/trial_configs/trial_010_baseline_bs64_nw8.yaml,runs/perf_resnet18_rocm/baseline/bs64_nw8/resource_samples.csv
11,completed,0,baseline,fp32,128,0,"2,3",108.549137,100.262615,8.286508,99.738073,110.549013,91.371571,100.0,5075.207,64.549344,71.482,30.506,2007.395,0.000569,1.591127,0.0756269295848906,0.979,0.9790361966203254,runs/perf_resnet18_rocm/baseline/bs128_nw0,checkpoints/perf_resnet18_rocm/baseline/bs128_nw0,runs/perf_resnet18_rocm/trial_configs/trial_011_baseline_bs128_nw0.yaml,runs/perf_resnet18_rocm/baseline/bs128_nw0/resource_samples.csv
12,completed,0,baseline,fp32,128,2,"2,3",96.693376,90.313748,6.379615,110.725114,124.103641,96.566396,100.0,5075.883,64.31103,74.625,35.924,4841.324,0.004653,1.739724,0.05854414741694927,0.9805,0.9804679061908075,runs/perf_resnet18_rocm/baseline/bs128_nw2,checkpoints/perf_resnet18_rocm/baseline/bs128_nw2,runs/perf_resnet18_rocm/trial_configs/trial_012_baseline_bs128_nw2.yaml,runs/perf_resnet18_rocm/baseline/bs128_nw2/resource_samples.csv
13,completed,0,baseline,fp32,128,4,"2,3",96.728379,90.285646,6.442717,110.759577,124.058732,96.713514,100.0,5075.887,64.045205,75.623,42.87,7980.91,0.008805,1.239405,0.05854414741694927,0.9805,0.9804679061908075,runs/perf_resnet18_rocm/baseline/bs128_nw4,checkpoints/perf_resnet18_rocm/baseline/bs128_nw4,runs/perf_resnet18_rocm/trial_configs/trial_013_baseline_bs128_nw4.yaml,runs/perf_resnet18_rocm/baseline/bs128_nw4/resource_samples.csv
14,completed,0,baseline,fp32,128,6,"2,3",96.648809,90.055782,6.593009,111.042287,124.160868,96.527027,100.0,5075.938,63.806557,79.971,48.573,10879.203,0.004319,1.240781,0.05854414741694927,0.9805,0.9804679061908075,runs/perf_resnet18_rocm/baseline/bs128_nw6,checkpoints/perf_resnet18_rocm/baseline/bs128_nw6,runs/perf_resnet18_rocm/trial_configs/trial_014_baseline_bs128_nw6.yaml,runs/perf_resnet18_rocm/baseline/bs128_nw6/resource_samples.csv
15,completed,0,baseline,fp32,128,8,"2,3",97.184731,90.621318,6.563397,110.349311,123.476187,95.948925,100.0,5075.902,63.897441,84.394,53.543,14100.477,0.000884,1.696043,0.05854414741694927,0.9805,0.9804679061908075,runs/perf_resnet18_rocm/baseline/bs128_nw8,checkpoints/perf_resnet18_rocm/baseline/bs128_nw8,runs/perf_resnet18_rocm/trial_configs/trial_015_baseline_bs128_nw8.yaml,runs/perf_resnet18_rocm/baseline/bs128_nw8/resource_samples.csv
1,completed,0,miopen_search,fp32,32,0,"2,3",111.04966,102.435972,8.613673,97.621956,108.059764,85.097143,100.0,2211.34,62.47986,70.223,30.18,1755.602,0.027077,2.252663,0.07924997019022703,0.972,0.9720547130839454,runs/perf_resnet18_rocm/miopen_search/bs32_nw0,checkpoints/perf_resnet18_rocm/miopen_search/bs32_nw0,runs/perf_resnet18_rocm/trial_configs/trial_001_miopen_search_bs32_nw0.yaml,runs/perf_resnet18_rocm/miopen_search/bs32_nw0/resource_samples.csv
2,completed,0,miopen_search,fp32,32,2,"2,3",93.217604,87.256165,5.961426,114.605083,128.73105,97.632302,100.0,2210.906,59.928378,72.973,32.269,4158.98,1.4e-05,1.949649,0.03783524666028097,0.9915,0.9914931978338926,runs/perf_resnet18_rocm/miopen_search/bs32_nw2,checkpoints/perf_resnet18_rocm/miopen_search/bs32_nw2,runs/perf_resnet18_rocm/trial_configs/trial_002_miopen_search_bs32_nw2.yaml,runs/perf_resnet18_rocm/miopen_search/bs32_nw2/resource_samples.csv
3,completed,0,miopen_search,fp32,32,4,"2,3",93.254929,87.272205,5.982709,114.584019,128.679525,97.562069,100.0,2210.91,63.338617,70.682,34.25,6624.008,0.000538,1.927369,0.03783524666028097,0.9915,0.9914931978338926,runs/perf_resnet18_rocm/miopen_search/bs32_nw4,checkpoints/perf_resnet18_rocm/miopen_search/bs32_nw4,runs/perf_resnet18_rocm/trial_configs/trial_003_miopen_search_bs32_nw4.yaml,runs/perf_resnet18_rocm/miopen_search/bs32_nw4/resource_samples.csv
